journal,invariant,hits,demange
Econometrica,11.534128014501354,9.422811987224339,9.37077372696015
Quarterly J. of Economics,11.481933992235762,9.803190764952962,10.031087629283315
J. of Economic Literature,9.299665605876328,9.532734001503176,9.659406640709888
J. of Political Economy,7.760600850242681,7.34286348870288,7.513561932197964
American Economics Review,7.547034135754064,6.950361495491847,7.01901231578245
Review of Economic Studies,7.422797728358716,5.870053967076537,5.986187901521032
J. of Monetary Economics,5.248765970349145,4.1765968501346835,4.269449353639757
J. of Economic Theory,3.981890436144522,3.3797630167690347,3.205053185992877
Games and Economic Behavior,3.71618424167607,3.323934991970035,3.049668786726028
J. of Economics Perspectives,3.6693455197499447,3.5204555408348863,3.6362090526475193
J. of Econometrics,2.4275973660427983,2.7972387317918805,2.9023701718388852
Rand J. of Economics,2.267906890247126,2.9620449778319067,3.107262639988498
J. of Labor Economics,2.129203633598735,2.8506721174925365,2.807252328050615
Economic Theory,2.1076454411177656,1.4496771528473364,1.4345929206555328
J. of Human Resources,2.049005336988631,2.5784034212912985,2.585910880231396
Review of Economics and Stat.,1.8960985796520256,2.062928437604509,2.06166136324875
J. of Risk and Uncertainty,1.880700760120946,2.5359274165225774,2.401167614751808
J. of Public Economics,1.8675324199062715,2.0011402826191285,2.002623316420927
Econometric Theory,1.833872679917253,2.174851527089667,2.3246493707108584
International Economic Review,1.797154598584463,1.884692214124979,1.8629457892486754
J. of Financial Economics,1.7527672024148133,2.4425224571037485,2.9736261641262502
J. of Business and Ec. Stat.,1.6486950812137293,2.2232926653730933,2.1941058439674044
AER Proceedings,1.6395547411147833,1.6578007907015635,1.6887639421049676
European Economic Review,1.51418089827747,1.6515925689908084,1.648287926317729
J. of Applied Econometrics,1.462173166074489,1.8058619982457487,1.748722311702483
Social Choice and Welfare,1.4479733779760278,2.3237419144124156,2.014545318822948
Int. J. of Game Theory,1.4294052365165195,1.692122392151449,1.4462806400675077
J. of Env. Econ. and Management,1.4257303517115296,2.3085111460067997,2.3367920939246662
Economic Journal,1.3987306111531488,1.7945105330611606,1.7506756929934972
J. of International Economics,1.3270625410087324,1.958038803063278,1.902262146962185
J. of Ec. Dyn. and Control,1.2119972202592237,1.2351573686900303,1.1758702068733602
J. of Mathematical Economics,1.164985943119171,1.1270220945073863,1.0708884977703677
Economic Inquiry,0.7243555926714547,0.8826664618065748,0.8494628684950077
J. of Econ. Behavior and Org.,0.5870340370568248,0.890960887556878,0.8025515439237955
Scandinavian J. of Economics,0.472873029465943,0.812300507308663,0.778058899227513
Economics Letters,0.35536495892438663,0.47485827560214894,0.4572190700343549
Oxford Bull. of Ecs. and Stat.,0.31368094150830717,0.7550862543209306,0.6922900264103506
